cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
1,CUST0001,Amit,Sharma,Single,Female,2021-08-17
2,CUST0002,Sneha,Reddy,Married,Male,2021-02-02
3,CUST0003,Ravi,Reddy,Single,Male,2022-06-02
4,CUST0004,Vikram,Sharma,Married,Male,2021-08-14
5,CUST0005,Rahul,Patel,Single,Male,2022-12-16
6,CUST0006,Pooja,Naidu,Single,Female,2021-08-09
7,CUST0007,Anil,Reddy,Married,Male,2021-04-10
8,CUST0008,Anil,Naidu,Single,Female,2023-01-18
9,CUST0009,Rahul,Reddy,Single,Female,2022-07-20
10,CUST0010,Kiran,Naidu,Single,Male,2021-02-16
11,CUST0011,Priya,Patel,Single,Male,2023-06-07
12,CUST0012,Amit,Singh,Married,Female,2022-10-13
13,CUST0013,Anil,Kumar,Married,Female,2021-08-03
14,CUST0014,Kiran,Reddy,Single,Male,2021-06-17
15,CUST0015,Rahul,Singh,Single,Female,2022-12-03
16,CUST0016,Anil,Sharma,Single,Male,2023-04-05
17,CUST0017,Anil,Singh,Single,Female,2021-08-05
18,CUST0018,Vikram,Naidu,Married,Male,2022-02-10
19,CUST0019,Rahul,Kumar,Single,Female,2021-09-10
20,CUST0020,Neha,Patel,Married,Female,2022-01-06
21,CUST0021,Priya,Kumar,Single,Female,2023-02-13
22,CUST0022,Ravi,Reddy,Single,Male,2023-03-23
23,CUST0023,Pooja,Reddy,Married,Female,2022-09-03
24,CUST0024,Rahul,Patel,Single,Male,2022-11-30
25,CUST0025,Neha,Patel,Single,Female,2021-10-28
26,CUST0026,Pooja,Kumar,Single,Female,2023-09-04
27,CUST0027,Kiran,Kumar,Married,Male,2023-05-12
28,CUST0028,Neha,Verma,Married,Male,2023-02-20
29,CUST0029,Sneha,Sharma,Married,Female,2021-01-20
30,CUST0030,Amit,Naidu,Single,Female,2021-03-01
31,CUST0031,Priya,Reddy,Married,Male,2023-04-16
32,CUST0032,Amit,Kumar,Married,Male,2023-08-28
33,CUST0033,Neha,Kumar,Married,Female,2023-09-15
34,CUST0034,Priya,Verma,Married,Female,2022-11-19
35,CUST0035,Anil,Das,Single,Female,2021-09-11
36,CUST0036,Priya,Reddy,Single,Female,2022-08-26
37,CUST0037,Neha,Verma,Single,Male,2021-03-14
38,CUST0038,Ravi,Verma,Single,Male,2023-05-31
39,CUST0039,Anil,Reddy,Married,Male,2022-11-17
40,CUST0040,Rahul,Verma,Married,Male,2021-09-06
41,CUST0041,Rahul,Singh,Single,Male,2021-04-10
42,CUST0042,Pooja,Naidu,Married,Female,2022-04-24
43,CUST0043,Ravi,Reddy,Married,Male,2023-01-16
44,CUST0044,Anil,Reddy,Single,Male,2021-07-14
45,CUST0045,Neha,Das,Married,Male,2021-07-07
46,CUST0046,Kiran,Das,Single,Male,2022-03-30
47,CUST0047,Neha,Reddy,Single,Male,2023-09-20
48,CUST0048,Amit,Verma,Married,Male,2022-05-13
49,CUST0049,Rahul,Verma,Single,Female,2021-06-18
